NOME_REGIONE,LAVORO,RESIDENZIALI,TRASPORTI,ALIMENTARI_E_FARMACIE,VENDITA_E_RICREATIVE
Lombardia,-64.15,30.85,-81.75,-50.9,-84.55
Basilicata,-57.85,23.9,-72.7,-49.85,-78.55
Sardegna,-56.4,24,-72.5,-52.45,-81.65
P.A. Bolzano ,-57.6,25.7,-71.45,-52.5,-80.75
Valle d'Aosta,-60.25,28.46,-74.3,-52.7,-87.4
Sicilia,-61.15,24.9,-78.1,-52.45,-81.1
Lazio,-63.75,29.7,-79.85,-47.35,-81.65
Marche,-61.3,30.25,-72.95,-49.7,-80.95
Piemonte,-60.7,29.35,-76.7,-49.65,-82.1
Liguria,-57.55,26.55,-71.9,-47.3,-78.65
Puglia,-59.4,25.35,-79.75,-49.1,-78.9
Friuli Venezia Giulia,-55.05,27.2,-67.45,-44.55,-79.9
Emilia-Romagna,-58.2,29,-75.8,-45.15,-81
Abruzzo,-60.8,27.25,-79.75,-51.65,-80.45
P.A. Trento,-57.6,25.7,-71.45,-52.5,-80.75
Veneto,-56.1,27.5,-75.15,-45.1,-79.15
Molise,-58.6,25.32,-69,-50.05,-78.15
Campania,-62.8,26.85,-78.7,-49.25,-82.8
Toscana,-59.5,28.95,-72.5,-47.55,-80
Umbria,-55.9,27.55,-69,-49.65,-80.95
Calabria,-59.45,24.25,-79.65,-52.45,-82.05
