DATA,CODICE_REGIONE,RICOVERATI_CON_SINTOMI,TERAPIA_INTENSIVA,TOTALE_OSPEDALIZZATI,ISOLAMENTO_DOMICILIARE,DIMESSI_GUARITI,DECEDUTI,TAMPONI
2020-04-21 00:00:00,16,569,65,634,2178,459,351,45984
2020-04-22 00:00:00,16,564,60,624,2250,494,362,48342
2020-04-23 00:00:00,16,536,55,591,2345,531,372,50410
2020-04-24 00:00:00,16,496,51,547,2386,565,383,52472
2020-04-25 00:00:00,16,469,48,517,2402,602,391,54628
2020-04-26 00:00:00,16,464,48,512,2425,612,399,55992
2020-04-27 00:00:00,16,449,51,500,2412,641,405,56976
2020-04-28 00:00:00,16,448,51,499,2420,654,407,58496
2020-04-29 00:00:00,16,449,47,496,2431,692,410,60334
2020-04-30 00:00:00,16,439,42,481,2468,708,415,62460
2020-05-01 00:00:00,16,428,39,467,2480,731,421,64292
2020-05-02 00:00:00,16,416,39,455,2499,757,422,65370
2020-05-03 00:00:00,16,410,40,450,2505,765,424,66443
2020-02-25 00:00:00,17,0,0,0,0,0,0,0
2020-02-26 00:00:00,17,0,0,0,0,0,0,0
2020-02-27 00:00:00,17,0,0,0,0,0,0,0
2020-02-28 00:00:00,17,0,0,0,0,0,0,0
2020-02-29 00:00:00,17,0,0,0,0,0,0,32
2020-03-01 00:00:00,17,0,0,0,0,0,0,39
2020-03-02 00:00:00,17,0,0,0,0,0,0,39
2020-03-03 00:00:00,17,0,0,0,1,0,0,42
2020-03-04 00:00:00,17,0,0,0,1,0,0,48
2020-03-05 00:00:00,17,0,0,0,1,0,0,54
2020-03-06 00:00:00,17,1,0,1,2,0,0,63
2020-03-07 00:00:00,17,1,0,1,2,0,0,75
2020-03-08 00:00:00,17,2,0,2,2,0,0,123
2020-03-09 00:00:00,17,2,0,2,3,0,0,135
2020-03-10 00:00:00,17,2,0,2,5,0,0,148
2020-03-11 00:00:00,17,1,1,2,6,0,0,155
2020-03-12 00:00:00,17,1,1,2,6,0,0,155
2020-03-13 00:00:00,17,1,1,2,8,0,0,155
2020-03-14 00:00:00,17,0,2,2,8,0,0,155
2020-03-15 00:00:00,17,0,2,2,9,0,0,208
2020-03-16 00:00:00,17,1,2,3,9,0,0,230
2020-03-17 00:00:00,17,5,2,7,13,0,0,262
2020-03-18 00:00:00,17,9,2,11,16,0,0,262
2020-03-19 00:00:00,17,8,5,13,24,0,0,353
2020-03-20 00:00:00,17,8,5,13,39,0,0,443
2020-03-21 00:00:00,17,12,7,19,47,0,0,522
2020-03-22 00:00:00,17,13,10,23,58,0,0,643
2020-03-23 00:00:00,17,15,12,27,62,0,1,696
2020-03-24 00:00:00,17,14,12,26,65,0,1,744
2020-03-25 00:00:00,17,20,14,34,78,0,1,857
2020-03-26 00:00:00,17,22,16,38,95,0,1,1046
2020-03-27 00:00:00,17,22,15,37,110,1,3,1254
2020-03-28 00:00:00,17,26,19,45,133,1,3,1421
2020-03-29 00:00:00,17,32,18,50,147,1,4,1585
2020-03-30 00:00:00,17,36,18,54,154,1,5,1833
2020-03-31 00:00:00,17,37,17,54,162,3,7,2043
2020-04-01 00:00:00,17,39,15,54,171,3,9,2262
2020-04-02 00:00:00,17,38,19,57,176,3,10,2427
2020-04-03 00:00:00,17,41,19,60,187,3,11,2622
2020-04-04 00:00:00,17,44,19,63,181,9,11,2765
2020-04-05 00:00:00,17,46,18,64,190,11,13,2931
2020-04-06 00:00:00,17,46,18,64,198,12,13,3061
2020-04-07 00:00:00,17,47,17,64,201,12,14,3160
2020-04-08 00:00:00,17,48,17,65,205,13,14,3296
2020-04-09 00:00:00,17,50,17,67,208,13,15,3474
2020-04-10 00:00:00,17,59,15,74,205,14,15,3696
2020-04-11 00:00:00,17,60,12,72,209,14,17,4050
2020-04-12 00:00:00,17,61,12,73,204,20,18,4355
2020-04-13 00:00:00,17,64,12,76,194,31,18,4545
2020-04-14 00:00:00,17,62,12,74,191,35,19,4759
2020-04-15 00:00:00,17,60,12,72,189,38,21,5037
2020-04-16 00:00:00,17,60,9,69,204,41,22,5349
2020-04-17 00:00:00,17,59,9,68,198,49,22,5710
2020-04-18 00:00:00,17,60,8,68,194,54,23,6056
2020-04-19 00:00:00,17,59,8,67,180,71,24,6528
2020-04-20 00:00:00,17,59,7,66,176,76,24,6868
2020-04-21 00:00:00,17,64,7,71,174,81,24,7470
2020-04-22 00:00:00,17,65,7,72,160,98,24,8040
2020-04-23 00:00:00,17,61,7,68,161,103,24,8511
2020-04-24 00:00:00,17,59,7,66,163,107,24,9026
2020-04-25 00:00:00,17,58,7,65,153,118,25,9792
2020-04-26 00:00:00,17,57,7,64,155,122,25,10077
2020-04-27 00:00:00,17,57,7,64,153,124,25,10364
2020-04-28 00:00:00,17,56,7,63,142,136,25,10889
2020-04-29 00:00:00,17,51,4,55,139,147,25,11331
2020-04-30 00:00:00,17,49,4,53,139,150,25,12774
2020-03-05 00:00:00,19,5,0,5,11,2,0,367
2020-03-06 00:00:00,19,7,0,7,15,2,0,367
2020-03-07 00:00:00,19,8,0,8,25,2,0,643
2020-03-08 00:00:00,19,18,0,18,33,2,0,791
2020-03-09 00:00:00,19,19,0,19,33,2,0,836
2020-03-10 00:00:00,19,17,2,19,41,2,0,955
2020-03-11 00:00:00,19,23,1,24,57,2,0,1194
2020-03-12 00:00:00,19,28,5,33,78,2,2,1477
2020-03-13 00:00:00,19,37,7,44,82,2,2,1950
2020-03-14 00:00:00,19,42,11,53,97,4,2,2100
2020-03-15 00:00:00,19,56,15,71,108,7,2,2452
2020-03-16 00:00:00,19,75,20,95,108,8,2,2653
2020-03-17 00:00:00,19,86,28,114,112,8,3,2916
2020-03-18 00:00:00,19,100,29,129,138,12,3,3294
2020-03-19 00:00:00,19,143,36,179,142,15,4,3961
2020-03-20 00:00:00,19,168,42,210,169,25,4,4468
2020-03-21 00:00:00,19,206,48,254,204,26,6,4883
2020-03-22 00:00:00,19,220,55,275,321,26,8,5580
