NOME_REGIONE,LAVORO,RESIDENZIALI,TRASPORTI,ALIMENTARI_E_FARMACIE,VENDITA_E_RICREATIVE
Lombardia,-66.86,31.42,-81.83,-45.72,-83.81
Basilicata,-59.22,24.67,-73.25,-46.22,-77.61
Sardegna,-56.36,23.97,-70.61,-44.86,-78.83
P.A. Bolzano ,-60.94,28.64,-75.53,-53.5,-83.75
Valle d'Aosta,-61.42,28.92,-74.56,-49.47,-85.14
Sicilia,-62.22,25.61,-78.14,-49.47,-80.31
Lazio,-64.39,29.69,-79.39,-45.53,-80.97
Marche,-61.78,30.19,-73.14,-44.03,-79.94
Piemonte,-61.14,29.28,-76.08,-44.42,-80.33
Liguria,-59.92,27.39,-73.83,-45.61,-79.22
Puglia,-60.53,25.97,-78.78,-45.67,-78.19
Friuli Venezia Giulia,-57.11,28.58,-71.92,-40.58,-80.5
Emilia-Romagna,-59.81,29.42,-75.69,-42.06,-80.78
Abruzzo,-62.58,28.08,-79.42,-44.81,-79.75
P.A. Trento,-60.94,28.64,-75.53,-53.5,-83.75
Veneto,-58.58,28.97,-78,-40.97,-81.03
Molise,-59.89,25.84,-69.28,-47.31,-77.31
Campania,-64.47,27.14,-78.75,-46.75,-81.31
Toscana,-60.28,29.08,-73.69,-46.44,-80.14
Umbria,-58.06,28.14,-68.11,-45.83,-80.08
Calabria,-62.67,25.33,-78.92,-51.25,-80.86
