DATA,CODICE_REGIONE,RICOVERATI_CON_SINTOMI,TERAPIA_INTENSIVA,TOTALE_OSPEDALIZZATI,ISOLAMENTO_DOMICILIARE,DIMESSI_GUARITI,DECEDUTI,TAMPONI,LUOGHI_LAVORO,LUOGHI_RESIDENZIALI,TRASPORTO_PUBBLICO,ALIMENTARI_FARMACIE,VENDITA_E_ATTIVITA_RICREATIVE
2020-04-21 00:00:00,16,569,65,634,2178,459,351,45984,-60,26,-78,-44,-76
2020-04-22 00:00:00,16,564,60,624,2250,494,362,48342,-60,27,-81,-49,-79
2020-04-23 00:00:00,16,536,55,591,2345,531,372,50410,-60,27,-79,-40,-76
2020-04-24 00:00:00,16,496,51,547,2386,565,383,52472,-57,25,-76,-20,-70
2020-04-25 00:00:00,16,469,48,517,2402,602,391,54628,-75,30,-89,-93,-94
2020-04-26 00:00:00,16,464,48,512,2425,612,399,55992,-56,23,-85,-87,-92
2020-04-27 00:00:00,16,449,51,500,2412,641,405,56976,-55,23,-76,-32,-69
2020-04-28 00:00:00,16,448,51,499,2420,654,407,58496,-56,22,-75,-36,-72
2020-04-29 00:00:00,16,449,47,496,2431,692,410,60334,-55,23,-75,-34,-71
2020-04-30 00:00:00,16,439,42,481,2468,708,415,62460,-54,22,-72,-21,-66
2020-05-01 00:00:00,16,428,39,467,2480,731,421,64292,-82,34,-89,-92,-91
2020-05-02 00:00:00,16,416,39,455,2499,757,422,65370,-51,22,-75,-33,-74
2020-05-03 00:00:00,16,410,40,450,2505,765,424,66443,-47,21,-80,-72,-87
2020-02-25 00:00:00,17,0,0,0,0,0,0,0,-19,4,-7,0,-1
2020-02-26 00:00:00,17,0,0,0,0,0,0,0,-3,2,-10,-2,-9
2020-02-27 00:00:00,17,0,0,0,0,0,0,0,-2,3,-10,2,-6
2020-02-28 00:00:00,17,0,0,0,0,0,0,0,-2,3,-10,-2,-8
2020-02-29 00:00:00,17,0,0,0,0,0,0,32,1,2,8,1,-2
2020-03-01 00:00:00,17,0,0,0,0,0,0,39,0,1,-1,2,1
2020-03-02 00:00:00,17,0,0,0,0,0,0,39,1,0,-8,3,-2
2020-03-03 00:00:00,17,0,0,0,1,0,0,42,0,1,-8,0,-4
2020-03-04 00:00:00,17,0,0,0,1,0,0,48,2,1,-3,4,-2
2020-03-05 00:00:00,17,0,0,0,1,0,0,54,-17,4,-16,6,-3
2020-03-06 00:00:00,17,1,0,1,2,0,0,63,-19,7,-24,4,-13
2020-03-07 00:00:00,17,1,0,1,2,0,0,75,-23,9,-37,2,-22
2020-03-08 00:00:00,17,2,0,2,2,0,0,123,-11,7,-26,0,-28
2020-03-09 00:00:00,17,2,0,2,3,0,0,135,-25,9,-29,1,-23
2020-03-10 00:00:00,17,2,0,2,5,0,0,148,-32,13,-41,-1,-39
2020-03-11 00:00:00,17,1,1,2,6,0,0,155,-36,15,-46,-17,-48
2020-03-12 00:00:00,17,1,1,2,6,0,0,155,-45,20,-61,-27,-65
2020-03-13 00:00:00,17,1,1,2,8,0,0,155,-49,22,-65,-32,-70
2020-03-14 00:00:00,17,0,2,2,8,0,0,155,-54,22,-71,-37,-76
2020-03-15 00:00:00,17,0,2,2,9,0,0,208,-53,20,-76,-61,-87
2020-03-16 00:00:00,17,1,2,3,9,0,0,230,-54,23,-71,-35,-70
2020-03-17 00:00:00,17,5,2,7,13,0,0,262,-58,24,-71,-45,-73
2020-03-18 00:00:00,17,9,2,11,16,0,0,262,-58,25,-72,-45,-75
2020-03-19 00:00:00,17,8,5,13,24,0,0,353,-60,26,-75,-48,-75
2020-03-20 00:00:00,17,8,5,13,39,0,0,443,-61,27,-76,-45,-76
2020-03-21 00:00:00,17,12,7,19,47,0,0,522,-61,25,-79,-47,-80
2020-03-22 00:00:00,17,13,10,23,58,0,0,643,-59,22,-83,-87,-92
2020-03-23 00:00:00,17,15,12,27,62,0,1,696,-65,28,-79,-46,-77
2020-03-24 00:00:00,17,14,12,26,65,0,1,744,-67,28,-79,-51,-79
2020-03-25 00:00:00,17,20,14,34,78,0,1,857,-68,29,-80,-56,-82
2020-03-26 00:00:00,17,22,16,38,95,0,1,1046,-69,31,-82,-58,-82
2020-03-27 00:00:00,17,22,15,37,110,1,3,1254,-66,30,-80,-45,-78
2020-03-28 00:00:00,17,26,19,45,133,1,3,1421,-63,27,-80,-50,-82
2020-03-29 00:00:00,17,32,18,50,147,1,4,1585,-58,22,-86,-84,-91
2020-03-30 00:00:00,17,36,18,54,154,1,5,1833,-64,27,-77,-49,-79
2020-03-31 00:00:00,17,37,17,54,162,3,7,2043,-66,28,-76,-46,-91
2020-04-01 00:00:00,17,39,15,54,171,3,9,2262,-67,28,-74,-47,-91
2020-04-02 00:00:00,17,38,19,57,176,3,10,2427,-65,28,-75,-42,-90
2020-04-03 00:00:00,17,41,19,60,187,3,11,2622,-65,29,-76,-38,-82
2020-04-04 00:00:00,17,44,19,63,181,9,11,2765,-62,26,-79,-45,-85
2020-04-05 00:00:00,17,46,18,64,190,11,13,2931,-59,22,-83,-79,-93
2020-04-06 00:00:00,17,46,18,64,198,12,13,3061,-63,26,-75,-43,-81
2020-04-07 00:00:00,17,47,17,64,201,12,14,3160,-64,26,-74,-41,-79
2020-04-08 00:00:00,17,48,17,65,205,13,14,3296,-63,25,-72,-37,-79
2020-04-09 00:00:00,17,50,17,67,208,13,15,3474,-63,26,-72,-32,-78
2020-04-10 00:00:00,17,59,15,74,205,14,15,3696,-63,27,-71,-24,-77
2020-04-11 00:00:00,17,60,12,72,209,14,17,4050,-61,25,-75,-41,-82
2020-04-12 00:00:00,17,61,12,73,204,20,18,4355,-62,23,-86,-90,-93
2020-04-13 00:00:00,17,64,12,76,194,31,18,4545,-84,34,-90,-94,-94
2020-04-14 00:00:00,17,62,12,74,191,35,19,4759,-63,26,-72,-47,-80
2020-04-15 00:00:00,17,60,12,72,189,38,21,5037,-61,26,-71,-41,-78
2020-04-16 00:00:00,17,60,9,69,204,41,22,5349,-60,25,-70,-40,-77
2020-04-17 00:00:00,17,59,9,68,198,49,22,5710,-60,26,-69,-34,-76
2020-04-18 00:00:00,17,60,8,68,194,54,23,6056,-56,23,-74,-44,-80
2020-04-19 00:00:00,17,59,8,67,180,71,24,6528,-52,20,-82,-86,-91
2020-04-20 00:00:00,17,59,7,66,176,76,24,6868,-59,25,-71,-46,-76
2020-04-21 00:00:00,17,64,7,71,174,81,24,7470,-59,25,-72,-43,-75
2020-04-22 00:00:00,17,65,7,72,160,98,24,8040,-59,26,-73,-49,-78
2020-04-23 00:00:00,17,61,7,68,161,103,24,8511,-59,26,-72,-43,-77
2020-04-24 00:00:00,17,59,7,66,163,107,24,9026,-57,24,-67,-19,-70
2020-04-25 00:00:00,17,58,7,65,153,118,25,9792,-70,28,-85,-92,-92
2020-04-26 00:00:00,17,57,7,64,155,122,25,10077,-49,19,-80,-84,-89
2020-04-27 00:00:00,17,57,7,64,153,124,25,10364,-54,22,-67,-31,-69
2020-04-28 00:00:00,17,56,7,63,142,136,25,10889,-55,21,-67,-38,-71
2020-04-29 00:00:00,17,51,4,55,139,147,25,11331,-54,22,-65,-35,-71
2020-04-30 00:00:00,17,49,4,53,139,150,25,12774,-54,21,-63,-18,-66
2020-03-05 00:00:00,19,5,0,5,11,2,0,367,-18,5,-19,4,-7
2020-03-06 00:00:00,19,7,0,7,15,2,0,367,-18,6,-24,1,-12
2020-03-07 00:00:00,19,8,0,8,25,2,0,643,-15,7,-27,0,-21
2020-03-08 00:00:00,19,18,0,18,33,2,0,791,-10,7,-34,-2,-31
