NOME_REGIONE,NOME_PROVINCIA,CASI_TOTALI
Piemonte,Torino,13796
Valle d'Aosta,Aosta,1142
Lombardia,Milano,20060
Veneto,Verona,4800
Friuli Venezia Giulia,Trieste,1296
Liguria,Genova,4860
Emilia-Romagna,Reggio nell'Emilia,4765
Toscana,Firenze,3213
Umbria,Perugia,996
Marche,Pesaro e Urbino,2540
Lazio,Roma,4923
Abruzzo,Pescara,1352
Molise,Campobasso,227
Campania,Napoli,2481
Puglia,Bari,1323
Basilicata,Matera,199
Calabria,Cosenza,460
Sicilia,Catania,1002
Sardegna,Sassari,848
P.A. Bolzano ,Bolzano,2535
P.A. Trento,Trento,4247
