DATA,CODICE_REGIONE,LUOGHI_LAVORO,LUOGHI_RESIDENZIALI,TRASPORTO_PUBBLICO,ALIMENTARI_FARMACIE,VENDITA_E_ATTIVITA_RICREATIVE
2020-05-01 00:00:00,17,-79,32,-86,-91,-91
2020-05-02 00:00:00,17,-52,22,-68,-33,-75
2020-05-03 00:00:00,17,-45,19,-80,-83,-89
2020-02-25 00:00:00,18,-12,3,-7,7,-4
2020-02-26 00:00:00,18,-6,3,-14,-4,-13
2020-02-27 00:00:00,18,-4,4,-15,-1,-9
2020-02-28 00:00:00,18,-5,4,-21,-3,-10
2020-02-29 00:00:00,18,0,2,-14,-1,-4
2020-03-01 00:00:00,18,-1,1,-13,1,1
2020-03-02 00:00:00,18,0,1,-12,3,-1
2020-03-03 00:00:00,18,-4,2,-16,-3,-5
2020-03-04 00:00:00,18,-2,2,-17,2,-5
2020-03-05 00:00:00,18,-19,5,-19,7,-7
2020-03-06 00:00:00,18,-21,7,-28,-1,-16
2020-03-07 00:00:00,18,-21,8,-34,0,-22
2020-03-08 00:00:00,18,-10,7,-40,0,-31
2020-03-09 00:00:00,18,-27,10,-40,0,-26
2020-03-10 00:00:00,18,-35,14,-47,-2,-42
2020-03-11 00:00:00,18,-42,18,-58,-22,-56
2020-03-12 00:00:00,18,-53,22,-66,-32,-71
2020-03-13 00:00:00,18,-58,25,-70,-40,-75
2020-03-14 00:00:00,18,-59,24,-75,-47,-81
2020-03-15 00:00:00,18,-55,20,-83,-66,-89
2020-03-16 00:00:00,18,-61,25,-79,-46,-76
2020-03-17 00:00:00,18,-63,25,-78,-51,-78
2020-03-18 00:00:00,18,-65,27,-79,-50,-79
2020-03-19 00:00:00,18,-66,27,-79,-53,-80
2020-03-20 00:00:00,18,-66,29,-82,-50,-80
2020-03-21 00:00:00,18,-65,26,-83,-55,-85
2020-03-22 00:00:00,18,-66,23,-89,-92,-94
2020-03-23 00:00:00,18,-68,28,-84,-53,-80
2020-03-24 00:00:00,18,-70,28,-81,-56,-82
2020-03-25 00:00:00,18,-72,30,-84,-62,-85
2020-03-26 00:00:00,18,-71,30,-84,-60,-85
2020-03-27 00:00:00,18,-69,30,-84,-51,-81
2020-03-28 00:00:00,18,-65,27,-84,-55,-84
2020-03-29 00:00:00,18,-63,22,-90,-92,-94
2020-03-30 00:00:00,18,-67,27,-83,-52,-81
2020-03-31 00:00:00,18,-68,27,-80,-48,-92
2020-04-01 00:00:00,18,-68,28,-81,-48,-92
2020-04-02 00:00:00,18,-67,28,-80,-47,-91
2020-04-03 00:00:00,18,-67,30,-83,-46,-85
2020-04-04 00:00:00,18,-63,26,-83,-47,-87
2020-04-05 00:00:00,18,-62,22,-90,-91,-95
2020-04-06 00:00:00,18,-64,26,-81,-45,-83
2020-04-07 00:00:00,18,-65,26,-80,-43,-82
2020-04-08 00:00:00,18,-65,26,-79,-41,-82
2020-04-09 00:00:00,18,-65,27,-77,-38,-82
2020-04-10 00:00:00,18,-65,28,-80,-33,-81
2020-04-11 00:00:00,18,-62,25,-82,-43,-85
2020-04-12 00:00:00,18,-63,23,-91,-93,-95
2020-04-13 00:00:00,18,-86,33,-92,-95,-95
2020-04-14 00:00:00,18,-64,25,-80,-50,-82
2020-04-15 00:00:00,18,-63,26,-78,-45,-82
2020-04-16 00:00:00,18,-62,26,-78,-43,-80
2020-04-17 00:00:00,18,-62,27,-80,-41,-80
2020-04-18 00:00:00,18,-57,24,-80,-48,-84
2020-04-19 00:00:00,18,-55,21,-87,-91,-94
2020-04-20 00:00:00,18,-61,25,-80,-49,-79
2020-04-21 00:00:00,18,-61,25,-77,-48,-80
2020-04-22 00:00:00,18,-61,26,-78,-50,-81
2020-04-23 00:00:00,18,-62,26,-78,-46,-80
2020-04-24 00:00:00,18,-60,25,-78,-29,-76
2020-04-25 00:00:00,18,-72,28,-87,-91,-94
2020-04-26 00:00:00,18,-51,20,-86,-80,-92
2020-04-27 00:00:00,18,-56,22,-75,-37,-73
2020-04-28 00:00:00,18,-57,21,-74,-42,-76
2020-04-29 00:00:00,18,-57,23,-75,-40,-77
2020-04-30 00:00:00,18,-56,23,-73,-28,-72
2020-05-01 00:00:00,18,-78,32,-88,-83,-91
2020-05-02 00:00:00,18,-52,22,-78,-38,-79
2020-05-03 00:00:00,18,-42,18,-83,-70,-89
2020-02-25 00:00:00,15,-20,5,-7,-2,-2
2020-02-26 00:00:00,15,-11,4,-11,-6,-10
2020-02-27 00:00:00,15,-16,5,-15,-1,-6
2020-02-28 00:00:00,15,-16,5,-16,-1,-6
2020-02-29 00:00:00,15,-10,2,-5,2,-3
2020-03-01 00:00:00,15,-2,2,-14,-1,-11
2020-03-02 00:00:00,15,-3,2,-10,0,-8
2020-03-03 00:00:00,15,-2,2,-11,-1,-7
2020-03-04 00:00:00,15,-1,1,-9,2,-5
2020-03-05 00:00:00,15,-16,5,-17,4,-6
2020-03-06 00:00:00,15,-18,7,-27,-1,-14
2020-03-07 00:00:00,15,-14,7,-28,4,-22
2020-03-08 00:00:00,15,-8,6,-29,0,-29
2020-03-09 00:00:00,15,-25,10,-37,2,-26
2020-03-10 00:00:00,15,-34,15,-50,-1,-44
2020-03-11 00:00:00,15,-42,18,-59,-17,-55
2020-03-12 00:00:00,15,-51,23,-68,-27,-70
2020-03-13 00:00:00,15,-57,26,-73,-33,-75
2020-03-14 00:00:00,15,-59,24,-78,-42,-83
2020-03-15 00:00:00,15,-61,22,-85,-61,-91
2020-03-16 00:00:00,15,-62,27,-79,-43,-77
2020-03-17 00:00:00,15,-65,28,-79,-45,-78
2020-03-18 00:00:00,15,-65,28,-79,-46,-79
2020-03-19 00:00:00,15,-66,30,-80,-48,-80
2020-03-20 00:00:00,15,-67,31,-81,-45,-81
2020-03-21 00:00:00,15,-64,26,-82,-49,-84
2020-03-22 00:00:00,15,-68,24,-89,-79,-94
2020-03-23 00:00:00,15,-70,30,-83,-52,-82
2020-03-24 00:00:00,15,-71,30,-82,-52,-82
2020-03-25 00:00:00,15,-72,31,-84,-56,-84
2020-03-26 00:00:00,15,-73,33,-85,-57,-85
2020-03-27 00:00:00,15,-71,33,-84,-48,-82
2020-03-28 00:00:00,15,-66,27,-83,-51,-85
2020-03-29 00:00:00,15,-67,23,-89,-78,-94
2020-03-30 00:00:00,15,-69,30,-82,-51,-82
2020-03-31 00:00:00,15,-70,30,-80,-46,-92
2020-04-01 00:00:00,15,-70,30,-79,-43,-92
2020-04-02 00:00:00,15,-70,31,-80,-43,-92
2020-04-03 00:00:00,15,-69,32,-81,-39,-85
2020-04-04 00:00:00,15,-65,26,-81,-46,-89
2020-04-05 00:00:00,15,-66,24,-88,-74,-95
2020-04-06 00:00:00,15,-68,29,-80,-45,-84
2020-04-07 00:00:00,15,-68,29,-79,-39,-82
2020-04-08 00:00:00,15,-68,29,-78,-36,-82
2020-04-09 00:00:00,15,-68,29,-78,-32,-81
2020-04-10 00:00:00,15,-69,31,-79,-30,-81
2020-04-11 00:00:00,15,-64,26,-78,-42,-86
2020-04-12 00:00:00,15,-71,25,-91,-94,-97
2020-04-13 00:00:00,15,-90,37,-92,-95,-96
2020-04-14 00:00:00,15,-68,29,-80,-48,-84
2020-04-15 00:00:00,15,-66,29,-79,-43,-83
2020-04-16 00:00:00,15,-66,29,-78,-42,-82
2020-04-17 00:00:00,15,-65,30,-78,-36,-81
2020-04-18 00:00:00,15,-60,25,-79,-45,-86
2020-04-19 00:00:00,15,-61,23,-87,-76,-94
2020-04-20 00:00:00,15,-64,28,-81,-52,-82
2020-04-21 00:00:00,15,-64,28,-78,-44,-80
